メーカー名,製品名,用途,該当する界面活性剤,直鎖アルキルベンゼンスルホン酸ナトリウム,アルキルグリコシド,アルキルアミンオキシド,塩化ベンザルコニウム,塩化ベンゼトニウム,塩化ジアルキルジメチルアンモニウム,ポリオキシエチレンアルキルエーテル,純石けん分（脂肪酸カリウム）,純石けん分（脂肪酸ナトリウム）,価格
ライオン株式会社,ルックプラス バスタブクレンジング 銀イオン＋,浴室用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,408
ライオン株式会社,業務用ﾙｯｸﾌﾟﾗｽまめﾋﾟｶ抗菌ﾌﾟﾗｽ ﾄｲﾚのふき取りｸﾘｰﾅｰ,トイレ用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,1855
ライオン株式会社,業務用強力ルック,住居用合成洗剤,アルキルアミンオキシド,,,◯,,,,,,,1473
ライオン株式会社,おふろのルック,浴室用合成洗剤,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,107
ライオン株式会社,業務用バスルック,浴室用合成洗剤,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,1345
ライオンハイジーン株式会社,メディプロ バスクリーナー,おふろ用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,1990
ライオンハイジーン株式会社,メディプロ トイレクリーナー,トイレ用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,1250
株式会社リンレイ,カベ紙クリーナー&コート,住宅家具用洗剤（住宅家具用）,塩化ベンザルコニウム,,,,◯,,,,,,311
株式会社リンレイ,アミ戸クリーナー,住宅家具用洗剤（住宅家具用）,アルキルアミンオキシド,,,◯,,,,,,,508
株式会社リンレイ,ハイジェニック除菌クリーナー中性,住宅家具用洗剤,塩化ベンザルコニウム,,,,◯,,,,,,880
ロケット石鹸株式会社,レンジクリーナースプレー,住居用合成洗剤,アルキルアミンオキシド,,,◯,,,,,,,316
ロケット石鹸株式会社,マイバスクリーナー,浴室用合成洗剤,アルキルアミンオキシド、ポリオキシエチレンアルキルエーテル,,,◯,,,,◯,,,108
ロケット石鹸株式会社,awasお風呂洗剤泡ローズ,浴室用合成洗剤,アルキルアミンオキシド、ポリオキシエチレンアルキルエーテル,,,◯,,,,◯,,,217
ロケット石鹸株式会社,マイトイレクリーナー,トイレ用合成洗剤,ポリオキシエチレンアルキルエーテル、アルキルアミンオキシド,,,◯,,,,◯,,,108
ロケット石鹸株式会社,水あかレンジャー,浴室用、台所周り用洗浄剤,アルキルアミンオキシド,,,◯,,,,,,,217
ロケット石鹸株式会社,スーパーバスクリーナー 4L,浴室用合成洗剤（業務用）,アルキルアミンオキシド、ポリオキシエチレンアルキルエーテル,,,◯,,,,◯,,,976
ロケット石鹸株式会社,スーパートイレクリーナー 4L,トイレ用合成洗剤（業務用）,ポリオキシエチレンアルキルエーテル、アルキルアミンオキシド,,,◯,,,,◯,,,1544
